candidate_id,Start time,End time,Email address,I confirm that I have read the above information and acknowledge it.,"Do you consent to the processing of personal data regarding your email address for the purpose of carrying out the research project titled ""XPM: eXplainable Predictive Maintenance"" and archiving, in accordance with the European Parliament and Council Regulation (EU) 2016/679 of April 27, 2016 (General Data Protection Regulation) and in accordance with the information clause attached to your consent?",Do you consent to participate in the survey?,How would you rate your knowledge about wild edible and poisonous mushrooms?,How do you primarily recognize wild edible mushrooms?,How can you mainly recognize wild poisonous or inedible mushrooms?  ,Where does your knowledge about wild mushrooms come from?  ,Do you ever collect wild mushrooms?,I do not have objections to:,"What are your skills in data visualization, such as creating charts, infographics, etc.? (Select up to two answers).",How do you rate your skills in data analysis?  ,Where do you have your skills in data visualization from?  ,What features should a well-made data visualization have in your opinion?,"Based on the chart, are you able to determine the features that most often appear on its right side and suggest a strong influence on classifying the mushroom as poisonous? Please respond and provide these features.  ","Looking at the following visualization, are you able to determine which changes in characteristics, according to the counterfactual analysis, have the greatest impact on changing the classification of a mushroom from poisonous to edible or vice versa? Please answer by describing these changes.",Provide the name(s) of the study program(s) you are currently enrolled in:,"Do you consent to participate in testing XAI techniques? You can withdraw later if you change your mind. The research will be conducted from December 19, 2023, to February 25, 2024, at the Faculty of Management and Social Communication at Jagiellonian University, in the Institute of Information Studies at Jagiellonian University. If you give preliminary consent, we will ask you to provide a contact email address to which we will send a form for scheduling a specific date and time for the study. Participants in the qualitative research will receive gifts.",participant_id,comment
30,1.12.24 19:47:55,1.12.24 20:49:13,anonymous,I confirm.,I consent.,Yes.,High.  ,By the presence of tubes under the cap.,By the presence of gills.  ,"From my mother, field guides, the internet.  ","Yes, rarely.  ",Eatinginging mushrooms that I picked myself.;Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;,I can create simple visualizations.;I can interpret simple visualizations.;,Average.  ,"School, video on YouTube;  ","clear, lots of graphic elements, transparent, good data descriptions  ","From the chart, I deduce that the greatest influence on whether the mushroom is poisonous is the height of the stem. The second is the diameter of the cap, and the third is the width of the stem.  ","Probably the way the gills attach to the stem, the base of the stem, the type of hymenophore. Due to a lack of data (? -NA), data appeared showing: attached gills, bulbous stem, hymenophore without a veil.  ",Psychology  ,Yes.,DR_SSH_01,
44,1.24.24 9:59:29,1.24.24 10:10:18,anonymous,I confirm.,I consent.,Yes.,Definitely low.  ,They don’t have a frill on the stem or gills. They have muted colors.,"They have bright, vivid colors, and sometimes a frill on the stem.  ",From nature in elementary school.  ,"No, never.  ",Eatinginging mushrooms bought at a store.;,I can create advanced visualizations.;I can interpret advanced visualizations.;,High.  ,Studies; Work;  ,"Transparency, simplicity, good organization of elements.  ","Height of the stem, diameter of the cap, diameter of the stem  ","No, the visualization appears to be poorly organized, very rough.  ",Information Management  ,Yes.,DR_SSH_02,
16,1.12.24 10:42:43,1.12.24 10:58:42,anonymous,I confirm.,I consent.,Yes.,Definitely low.  ,I don’t know.,"Apart from knowing what a few characteristic mushrooms look like (e.g., fly agaric, polypores), I don’t know the answer to this question.  ","Very basic, probably from elementary school, a bit from the internet.  ","No, never.  ",I don't want to answer.;,I can create simple visualizations.;I can interpret simple visualizations.;,Average.  ,Studies; school;  ,"transparent, readable, unambiguous, aesthetic  ","height-stem-cm, width-stem-mm  ","The way the gills attach to the stem, stem width, stem base, stem surface, type of hymenophore  ",Information Management  ,Yes.,DR_SSH_03,
64,1.26.24 21:07:50,1.26.24 21:33:56,anonymous,I confirm.,I consent.,Yes.,Low.  ,"There is no common characteristic for edible mushrooms, but all mushrooms with a ""sponge"" under the cap, meaning with tubes, are not edible.","All poisonous mushrooms have gills under the cap, but not all mushrooms with gills are poisonous.  ","From my grandmother, roommate, previous studies, and the internet.  ","Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;,I can interpret simple visualizations.;I can create simple visualizations.;,I can't assess.  ,I don't want to answer.;  ,should be transparent and have good data arrangement  ,"It’s hard for me to tell, but from the chart, I infer that the height of the stem, diameter of the cap, and width of the stem have significant importance in determining whether the mushroom is poisonous.  ",I am unable to answer.  ,Information Management  ,Yes.,DR_SSH_04,
29,1.12.24 17:31:03,1.12.24 17:44:12,anonymous,I confirm.,I consent.,Yes.,Average.  ,"By color, cap, gills, and changes in appearance after damage.","Color, cap, gills, change of appearance after being damaged.  ",From my family and biology lessons.  ,"Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms that I picked myself.;,I can create simple visualizations.;I can interpret simple visualizations.;,Average.  ,Studies;  ,"Readable, transparent, accurate, but not complicated  ",Height of the stem in cm  ,"The way the gills attach to the stem, stem base, type of hymenophore  ",EPI  ,Yes.,DR_IT_05,
82,1.30.24 20:59:38,1.30.24 21:19:03,anonymous,I confirm.,I consent.,Yes.,High.  ,"It depends on the species, as they have different characteristic fEatingures. Mainly the shape and color of the cap and stem, type of hymenophore, smell, environment in which they grow, taste after licking a cut mushroom, or the color change that then occurs.","Same as above. Mainly the shape and color of the cap and stem, the type of hymenophore, the smell, the environment in which it grows, the taste after licking the cut mushroom, or the color change that occurs.  ","Passed down from the family, from mushroom guides, from the internet (Facebook mushroom groups).  ","Yes, often.  ",Eatinginging mushrooms that I picked myself.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;,I can create simple visualizations.;I can interpret simple visualizations.;,High.  ,Studies; Work;  ,"Clarity, readability, maybe aesthetic values?  ","Height of the stem, width of the stem, diameter of the cap? I'm not sure what ""which most often appear on its right side"" means, and I don’t know how a poisonous mushroom is represented (negatively or positively).  ","Again, I’m missing some kind of legend; I don't know how to read this visualization.  ",Cognitive Science  ,Yes.,DR_SSH_06,
84,1.30.24 21:13:14,1.30.24 21:34:50,anonymous,I confirm.,I consent.,Yes.,High.  ,"Most of them do not have gills, do not have spots or patches, do not have triangular elongated caps and very thin stems (except for parasol mushrooms), they are usually plump.","They have gills, spots, triangular, elongated caps, thin stems, some have a strong unpleasant smell.  ","From my mom, dad, and grandmother.  ","Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms that I picked myself.;,I cannot create visualizations.;,Low.  ,I don't have such skills.;  ,"It should be transparent and intuitive, easy to read and possibly minimalist  ","I don’t understand the question, either I don't understand the chart or both.  ","The way the gills attach to the stem, stem width, stem base and surface, type of hymenophore  ",Cognitive Science II degree  ,Yes.,DR_SSH_07,
3,12.19.23 13:24:22,12.19.23 13:30:29,anonymous,I confirm.,I consent.,Yes.,Low.  ,By the absence of gills on the underside of the cap.,By the gill under the cap.  ,From going mushroom picking with my grandparents in childhood.  ,"No, never.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;,I can create simple visualizations.;I can interpret simple visualizations.;,High.  ,Studies;  ,"Data source, appropriate description, readable data layout  ","I would say that the greatest influence is the height of the stem, because it is located at the top of the chart.  ","I would say that these are the factors that have an additional value in the ""modified value"" column, but this is not entirely clear to me.  ",Information Management  ,Yes.,MK_01_PIL,pilot study
24,1.12.24 14:38:15,1.12.24 14:51:39,anonymous,I confirm.,I consent.,Yes.,I have no knowledge on this subject.  ,"Probably mainly because they don’t have ""gills"" but rather softer/spongier undersides.",They have gills undernEatingh.  ,"Elementary school, parents.  ","Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms offered by a stranger.;,I can interpret simple visualizations.;I can create simple visualizations.;,Average.  ,Studies; advanced computer science;  ,"transparent, readable, contains only necessary and sufficient information  ",height and width of the stem  ,"The way the gills attach from unspecified to attached, new stem width measurement, change from an unspecified stem base to bulbous, change of stem surface from smooth to shiny, and change of the unspecified hymenophore type to without a veil.  ",Applied Psychology  ,Yes.,MK_SSH_02,
43,1.23.24 14:59:36,1.23.24 15:22:36,anonymous,I confirm.,I consent.,Yes.,Average.  ,By the absence of gills (with exceptions).,By the gills (with exceptions).  ,My girlfriend taught me.  ,"Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms offered by a stranger.;Eatinginging mushrooms that I picked myself.;,I cannot interpret visualizations.;I cannot create visualizations.;,I have no skills in this area.  ,I don't have such skills.;  ,should be readable and clearly show conclusions  ,"These parts of the bar are mostly red, meaning change-color..., gill density, etc.  ",No  ,EPI  ,Yes.,MK_IT_03,
